Post_ID,Size,Depth,Max_Breadth,Mean_Breadth,Unique_Users,Duration_Minutes,Mean_Interval
1p809s4,59,6,20,8.428571428571429,32,9015.233333333334,152.8005649717514
1p8l4jf,21,3,8,5.25,18,7148.033333333334,340.3825396825397
1p90vnk,71,14,13,4.733333333333333,31,9855.783333333333,138.8138497652582
1p9la09,105,13,20,7.5,39,49144.28333333333,468.04079365079366
1packg1,93,9,25,9.3,43,1952.55,20.99516129032258
1pbbpeo,54,7,25,6.75,39,220635.83333333334,4085.848765432099
1pc59x6,53,6,29,7.571428571428571,45,31906.5,602.0094339622641
1pdwggl,71,8,17,7.888888888888889,41,190829.36666666667,2687.737558685446
1pe0xn7,39,8,17,4.333333333333333,30,127423.91666666667,3267.2799145299145
1pe2gre,103,9,32,10.3,72,64085.066666666666,622.1851132686085
1pf3b0g,38,4,27,7.6,35,183.95,4.84078947368421
1pg06cc,82,3,47,20.5,65,2793.7,34.06951219512195
1pg20vt,93,5,39,15.5,67,213064.71666666667,2291.018458781362
1pgghi5,157,6,65,22.428571428571427,102,3126.45,19.913694267515922
1ph9xre,50,7,15,6.25,34,92645.21666666666,1852.9043333333332
1pho317,78,4,45,15.6,63,3907.766666666667,50.09957264957265
1piaycf,51,6,25,7.285714285714286,45,6530.183333333333,128.04281045751634
1pifdmk,6,3,3,1.5,5,1913.3666666666666,318.89444444444445
1pjcp5d,61,5,31,10.166666666666666,46,10208.05,167.3450819672131
1pjiyfd,38,4,18,7.6,26,205843.83333333334,5416.94298245614
1pmhepg,190,8,97,21.11111111111111,150,91053.55,479.2292105263158
1po174t,71,10,24,6.454545454545454,42,8575.566666666668,120.78262910798124
1poanto,79,8,44,8.777777777777779,67,33340.083333333336,422.0263713080169
1pq4hby,30,4,13,6.0,24,181530.66666666666,6051.022222222222
1pqyu05,171,7,93,21.375,129,6641.333333333333,38.83820662768031
1pse87m,107,5,68,17.833333333333332,76,20722.816666666666,193.67118380062306
1psws8g,120,5,94,20.0,108,15177.866666666667,126.48222222222222
1pszqqc,65,8,28,7.222222222222222,49,10233.916666666666,157.44487179487177
1ptw923,43,5,17,7.166666666666667,31,7169.716666666666,166.7375968992248
1pu5jv5,83,7,42,10.375,62,170146.41666666666,2049.956827309237
1pujv2a,48,6,19,6.857142857142857,35,33877.48333333333,705.7809027777777
1pumaee,60,5,25,10.0,44,176225.85,2937.0975000000003
1pv7vk2,92,5,50,15.333333333333334,82,74185.1,806.3597826086957
1pvabkc,48,7,26,6.0,38,5102.1,106.29375
1pw4k54,53,4,40,10.6,44,2951.983333333333,55.69779874213836
1pwlttx,67,4,40,13.4,51,5320.0,79.40298507462687
1pxtrtf,43,8,13,4.777777777777778,21,1820.6,42.33953488372093
1px8yws,43,2,35,14.333333333333334,42,64946.13333333333,1510.3751937984496
